Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
8044,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,046,Komunikacije,,,177333
8045,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0471,Distribucija i skladištenje,0
8046,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0472,Hoteli i restorani,0
8047,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0473,Turizam,1110000
8048,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0474,Višenamjenski razvojni projekti,0
8049,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0481,"Istraživanje i razvoj: Opći ekonomski, trgovački i poslovi vezani uz rad",6540193
8050,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0482,"Istraživanje i razvoj: Poljoprivreda, šumarstvo, ribarstvo i lov",1380533
8051,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0483,Istraživanje i razvoj: Gorivo i energija,0
8052,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0484,"Istraživanje i razvoj: Rudarstvo, proizvodnja i građevinarstvo",0
8053,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0485,Istraživanje i razvoj: Promet,0
8054,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0486,Istraživanje i razvoj: Komunikacije,0
8055,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0487,Istraživanje i razvoj: Ostale industrije,0
8056,Primorsko-goranska,županija,2002,rashod,funkcijska,04,Ekonomski poslovi,049,Ekonomski poslovi koji nisu drugdje svrstani,,,950000
8057,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,051,Gospodarenje otpadom,,,1200000
8058,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,052,Gospodarenje otpadnim vodama,,,1000000
8059,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,053,Smanjenje zagađivanja,,,0
8060,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,054,Zaštita bioraznolikosti i krajolika,,,824232
8061,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,055,Istraživanje i razvoj: Zaštita okoliša,,,474676
8062,Primorsko-goranska,županija,2002,rashod,funkcijska,05,Zaštita okoliša,056,Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani,,,171160
8063,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,061,Razvoj stanovanja,,,0
8064,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,062,Razvoj zajednice,,,401591
8065,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,063,Opskrba vodom,,,2442875
8066,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,064,Ulična rasvjeta,,,0
8067,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,065,Istraživanje i razvoj stanovanja i komunalnih pogodnosti,,,272281
8068,Primorsko-goranska,županija,2002,rashod,funkcijska,06,Usluge unapređenja stanovanja i zajednice,066,Rashodi vezani za stanovanje i kom pogodnosti koji nisu drugdje svrstani,,,1370000
8069,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0711,Farmaceutski proizvodi,0
8070,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0712,Ostali medicinski proizvodi,0
8071,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0713,Terapeutski pribor i oprema,0
8072,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0721,Opće medicinske usluge,17109048
8073,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0722,Specijalističke medicinske usluge,0
8074,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0723,Zubarske usluge,11800
8075,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0724,Paramedicinske usluge ,0
8076,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0731,Usluge općih bolnica,171450
8077,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0732,Usluge specijalističkih bolnica,10160152
8078,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0733,Usluge medicinskih centara i centara za majčinstvo,100000
8079,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0734,Usluge centara za njegu i oporavak,0
8080,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,074,Službe javnog zdravstva,,,2851393
8081,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,075,Istraživanje i razvoj zdravstva,,,206000
8082,Primorsko-goranska,županija,2002,rashod,funkcijska,07,Zdravstvo,076,Poslovi i usluge zdravstva koji nisu drugdje svrstani,,,306906
8083,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",081,Službe rekreacije i sporta,,,1780000
8084,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",082,Službe kulture,,,5665689
8085,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",083,Službe emitiranja i izdavanja,,,100000
8086,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",084,Religijske i druge službe zajednice,,,0
8087,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",085,"Istraživanje i razvoj rekreacije, kulture i religije",,,0
8088,Primorsko-goranska,županija,2002,rashod,funkcijska,08,"Rekreacija, kultura i religija",086,"Rashodi za rekreaciju, kulturu i religiju koji nisu drugdje svrstani",,,854000
8089,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,091,Predškolsko i osnovno obrazovanje,0911,Predškolsko obrazovanje,0
8090,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,091,Predškolsko i osnovno obrazovanje,0912,Osnovno obrazovanje,19996042
8091,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,092,Srednjoškolsko obrazovanje,0921,Niže srednjoškolsko obrazovanje,0
8092,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,092,Srednjoškolsko obrazovanje,0922,Više srednjoškolsko obrazovanje,22048885
8093,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,093,"Poslije srednjoškolsko, ali ne visoko obrazovanje",,,0
8094,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,094,Visoka naobrazba,0941,Prvi stupanj visoke naobrazbe,1249440
8095,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,094,Visoka naobrazba,0942,Drugi stupanj visoke naobrazbe,24000
8096,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,095,Obrazovanje koje se ne može definirati po stupnju,,,60000
8097,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,096,Dodatne usluge u obrazovanju,,,612317
8098,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,097,Istraživanje i razvoj obrazovanja,,,0
8099,Primorsko-goranska,županija,2002,rashod,funkcijska,09,Obrazovanje,098,Usluge obrazovanja koje nisu drugdje svrstane,,,551000
8100,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,101,Bolest i invaliditet,1011,Bolest,0
8101,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,101,Bolest i invaliditet,1012,Invaliditet,0
8102,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,102,Starost,,,13972312
8103,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,103,Sljednici,,,0
8104,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,104,Obitelj i djeca,,,30000
8105,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,105,Nezaposlenost,,,0
8106,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,106,Stanovanje,,,1660560
8107,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,107,Socijalna pomoć stanovništvu koje nije obuhvaćeno redovnim socijalnim programima,,,292605
8108,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,108,Istraživanje i razvoj socijalne zaštite,,,0
8109,Primorsko-goranska,županija,2002,rashod,funkcijska,10,Socijalna zaštita,109,Aktivnosti socijalne zaštite koje nisu drugdje svrstane,,,3668775
8110,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0111,Izvršna i zakonodavna tijela,8247105
8111,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0112,Financijski i fiskalni poslovi,0
8112,Primorsko-goranska,županija,2003,rashod,funkcijska,01,Opće javne usluge,011,"Izvršna i zakonodavna tijela, financijski i fiskalni poslovi, vanjski poslovi",0113,Vanjski poslovi,612152
